kod obce,jmeno obce,pocet volicu,vydane obalky,platne hlasy,SPR-Republ.str.Čsl. M.Sládka,TOP 09,Strana zelených,REALISTÉ,ANO 2011,Referendum o Evropské unii,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Strana Práv Občanů,Česká strana národně sociální,Česká pirátská strana,Strana svobodných občanů,Dělnic.str.sociální spravedl.,STAROSTOVÉ A NEZÁVISLÍ,Křesť.demokr.unie-Čs.str.lid.,SPORTOVCI,Svob.a př.dem.-T.Okamura (SPD),"ROZUMNÍ-stop migraci,diktát.EU",Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,Občanská demokratická strana,Občanská demokratická aliance,Radostné Česko,Dobrá volba 2016,Blok proti islam.-Obran.domova
506761,Alojzov,431,279,275,0,5,4,0,32,0,0,17,0,0,18,1,1,5,6,1,15,1,0,9,29,0,0,0,0
589268,Bedihošť,238,132,131,0,6,2,0,140,0,0,123,1,0,34,14,0,13,26,0,82,2,0,28,51,0,1,0,1
589276,Bílovice-Lutotín,376,236,236,0,3,1,0,83,0,0,40,0,0,30,4,1,8,22,0,38,0,0,32,13,0,0,0,0
589284,Biskupice,107,67,67,0,0,2,0,34,2,0,24,0,0,10,1,0,5,10,0,19,1,0,9,14,0,0,0,0
589292,Bohuslavice,695,460,460,1,4,3,0,53,0,0,22,0,0,17,6,0,3,39,3,36,4,0,23,20,1,0,1,0
589306,Bousín,1224,656,655,0,2,0,0,10,0,0,14,0,0,7,0,0,3,9,0,11,2,0,4,5,0,0,0,0
589314,Brodek u Konice,178,111,111,0,5,3,0,144,1,0,47,2,1,38,5,0,20,60,1,72,4,0,32,25,0,0,0,0
589322,Brodek u Prostějova,331,208,206,1,22,5,1,202,0,0,61,2,2,57,11,4,21,53,3,107,4,0,42,54,2,0,0,1
589331,Březsko,264,170,169,0,2,0,0,36,1,0,3,0,0,10,1,0,6,17,0,13,3,1,9,9,0,0,0,0
589349,Budětsko,426,281,280,1,3,1,1,58,1,0,22,2,0,7,2,0,6,32,2,35,3,0,24,6,0,0,0,0
589357,Buková,814,512,512,0,2,2,1,35,0,0,33,0,0,14,3,0,3,25,0,15,0,0,19,16,0,0,1,0
589365,Čehovice,437,272,272,1,10,5,0,80,0,0,42,0,0,18,5,3,8,13,1,44,7,0,27,16,0,0,0,0
